Metric,AIRPORT,Year,Rank,DomesticINBOUND,DomesticOUTBOUND,DomesticTOTAL,internationalINBOUND,internationalOUTBOUND,internationalTOTAL,totalINBOUND,totalOUTBOUND,totalTOTAL
COOKTOWN2007,COOKTOWN,2007,-,7756,8348,16104,0,0,0,7756,8348,16104
COOKTOWN2008,COOKTOWN,2008,-,8091,8309,16400,0,0,0,8091,8309,16400
COOKTOWN2009,COOKTOWN,2009,-,5005,5242,10247,0,0,0,5005,5242,10247
COOKTOWN2010,COOKTOWN,2010,-,5168,5367,10535,0,0,0,5168,5367,10535
COOKTOWN2011,COOKTOWN,2011,-,4519,4805,9324,0,0,0,4519,4805,9324
COOKTOWN2012,COOKTOWN,2012,-,4164,4515,8679,0,0,0,4164,4515,8679
COOKTOWN2013,COOKTOWN,2013,-,4431,4646,9077,0,0,0,4431,4646,9077
COOKTOWN2014,COOKTOWN,2014,-,4985,5235,10220,0,0,0,4985,5235,10220
COOKTOWN2015,COOKTOWN,2015,-,4958,5110,10068,0,0,0,4958,5110,10068
COOKTOWN2016,COOKTOWN,2016,-,5016,5302,10318,0,0,0,5016,5302,10318
COOMA1985,COOMA,1985,-,21515,22001,43516,0,0,0,21515,22001,43516
COOMA1986,COOMA,1986,-,22394,22884,45278,0,0,0,22394,22884,45278
COOMA1987,COOMA,1987,-,21382,21923,43305,0,0,0,21382,21923,43305
COOMA1988,COOMA,1988,-,21195,21787,42982,0,0,0,21195,21787,42982
COOMA1989,COOMA,1989,-,13685,13778,27463,0,0,0,13685,13778,27463
COOMA1990,COOMA,1990,-,12627,12436,25063,0,0,0,12627,12436,25063
COOMA1991,COOMA,1991,-,9747,9406,19153,0,0,0,9747,9406,19153
COOMA1992,COOMA,1992,-,9684,9649,19333,0,0,0,9684,9649,19333
COOMA1993,COOMA,1993,-,7927,7917,15844,0,0,0,7927,7917,15844
COOMA1994,COOMA,1994,-,9501,9513,19014,0,0,0,9501,9513,19014
COOMA1995,COOMA,1995,-,9830,9705,19535,0,0,0,9830,9705,19535
COOMA1996,COOMA,1996,-,9750,9775,19525,0,0,0,9750,9775,19525
COOMA1997,COOMA,1997,-,10439,10480,20919,0,0,0,10439,10480,20919
COOMA1998,COOMA,1998,-,10881,10883,21764,0,0,0,10881,10883,21764
COOMA1999,COOMA,1999,-,10270,10270,20540,0,0,0,10270,10270,20540
COOMA2000,COOMA,2000,-,10846,10846,21692,0,0,0,10846,10846,21692
COOMA2001,COOMA,2001,-,7400,7162,14562,0,0,0,7400,7162,14562
COOMA2002,COOMA,2002,-,6158,6125,12283,0,0,0,6158,6125,12283
COOMA2003,COOMA,2003,-,6456,6456,12912,0,0,0,6456,6456,12912
COOMA2004,COOMA,2004,-,254,280,534,0,0,0,254,280,534
COOMA2005,COOMA,2005,-,4640,4358,8998,0,0,0,4640,4358,8998
COOMA2006,COOMA,2006,-,8502,8149,16651,0,0,0,8502,8149,16651
COOMA2007,COOMA,2007,-,8241,8114,16355,0,0,0,8241,8114,16355
COOMA2008,COOMA,2008,-,0,0,0,0,0,0,0,0,0
COOMA2009,COOMA,2009,-,0,0,0,0,0,0,0,0,0
COOMA2010,COOMA,2010,-,2145,2064,4209,0,0,0,2145,2064,4209
COOMA2011,COOMA,2011,-,2457,2359,4816,0,0,0,2457,2359,4816
COOMA2012,COOMA,2012,-,1112,1016,2128,0,0,0,1112,1016,2128
COOMA2013,COOMA,2013,-,799,762,1561,0,0,0,799,762,1561
COOMA2014,COOMA,2014,-,0,0,0,0,0,0,0,0,0
COOMA2015,COOMA,2015,-,0,0,0,0,0,0,0,0,0
COOMA2016,COOMA,2016,-,4023,3906,7929,0,0,0,4023,3906,7929
DARWIN1985,DARWIN,1985,14,173760,177449,351209,23185,23654,46839,196945,201103,398048
DARWIN1986,DARWIN,1986,14,179138,184693,363831,24686,24025,48711,203824,208718,412542
DARWIN1987,DARWIN,1987,13,190871,196110,386981,31434,30552,61986,222305,226662,448967
DARWIN1988,DARWIN,1988,13,203020,208400,411420,40185,39140,79325,243205,247540,490745
DARWIN1989,DARWIN,1989,12,156869,156184,313053,45946,46823,92769,202815,203007,405822
DARWIN1990,DARWIN,1990,12,192915,197902,390817,47225,47064,94289,240140,244966,485106
DARWIN1991,DARWIN,1991,11,212636,220124,432760,44388,44837,89225,257024,264961,521985
DARWIN1992,DARWIN,1992,11,244266,249160,493426,45618,45190,90808,289884,294350,584234
DARWIN1993,DARWIN,1993,11,273536,278533,552069,52032,51030,103062,325568,329563,655131
DARWIN1994,DARWIN,1994,10,319578,327354,646932,68306,63675,131981,387884,391029,778913
DARWIN1995,DARWIN,1995,10,365584,377707,743291,73033,66604,139637,438617,444311,882928
DARWIN1996,DARWIN,1996,9,405964,415620,821584,76720,71168,147888,482684,486788,969472
DARWIN1997,DARWIN,1997,9,407156,415427,822583,89054,82265,171319,496210,497692,993902
DARWIN1998,DARWIN,1998,9,423433,430288,853721,91275,86498,177773,514708,516786,1031494
DARWIN1999,DARWIN,1999,9,438846,440117,878963,81713,74345,156058,520559,514462,1035021
DARWIN2000,DARWIN,2000,9,450268,456316,906584,87913,81583,169496,538181,537899,1076080
DARWIN2001,DARWIN,2001,9,419534,428212,847746,79069,72554,151623,498603,500766,999369
DARWIN2002,DARWIN,2002,9,444793,449298,894091,51563,51648,103211,496356,500946,997302
DARWIN2003,DARWIN,2003,10,458526,465633,924159,38276,39414,77690,496802,505047,1001849
DARWIN2004,DARWIN,2004,10,526936,534906,1061842,49885,48489,98374,576821,583395,1160216
DARWIN2005,DARWIN,2005,10,551842,558708,1110550,52436,51946,104382,604278,610654,1214932
DARWIN2006,DARWIN,2006,10,586843,599476,1186319,61497,65331,126828,648340,664807,1313147
DARWIN2007,DARWIN,2007,10,650440,661544,1311984,74859,76460,151319,725299,738004,1463303
DARWIN2008,DARWIN,2008,10,703323,705993,1409316,95345,92492,187837,798668,798485,1597153
DARWIN2009,DARWIN,2009,10,658651,666148,1324799,101943,93799,195742,760594,759947,1520541
DARWIN2010,DARWIN,2010,10,698133,707835,1405968,112436,104569,217005,810569,812404,1622973
DARWIN2011,DARWIN,2011,9,777887,781883,1559770,160648,166287,326935,938535,948170,1886705
DARWIN2012,DARWIN,2012,9,800512,811566,1612078,161735,166979,328714,962247,978545,1940792
DARWIN2013,DARWIN,2013,10,810602,833329,1643931,162654,170563,333217,973256,1003892,1977148
DARWIN2014,DARWIN,2014,10,873578,886961,1760539,158654,160016,318670,1032232,1046977,2079209
DARWIN2015,DARWIN,2015,10,880897,887864,1768761,132904,129883,262787,1013801,1017747,2031548
DARWIN2016,DARWIN,2016,10,899500,903629,1803129,134483,137586,272069,1033983,1041215,2075198
DEVONPORT1985,DEVONPORT,1985,16,133570,132362,265932,0,0,0,133570,132362,265932
DEVONPORT1986,DEVONPORT,1986,15,144338,144768,289106,0,0,0,144338,144768,289106
DEVONPORT1987,DEVONPORT,1987,15,146443,147291,293734,0,0,0,146443,147291,293734
DEVONPORT1988,DEVONPORT,1988,15,111550,111306,222856,0,0,0,111550,111306,222856
DEVONPORT1989,DEVONPORT,1989,15,76221,77650,153871,0,0,0,76221,77650,153871
DEVONPORT1990,DEVONPORT,1990,15,93075,91386,184461,0,0,0,93075,91386,184461
DEVONPORT1991,DEVONPORT,1991,17,88021,90215,178236,0,0,0,88021,90215,178236
DEVONPORT1992,DEVONPORT,1992,25,54154,54728,108882,0,0,0,54154,54728,108882
DEVONPORT1993,DEVONPORT,1993,25,58330,59451,117781,0,0,0,58330,59451,117781
DEVONPORT1994,DEVONPORT,1994,26,59114,61154,120268,0,0,0,59114,61154,120268
DEVONPORT1995,DEVONPORT,1995,25,64684,65289,129973,0,0,0,64684,65289,129973
DEVONPORT1996,DEVONPORT,1996,26,62321,62295,124616,0,0,0,62321,62295,124616
DEVONPORT1997,DEVONPORT,1997,26,64904,65272,130176,0,0,0,64904,65272,130176
DEVONPORT1998,DEVONPORT,1998,26,66458,67029,133487,0,0,0,66458,67029,133487
DEVONPORT1999,DEVONPORT,1999,27,67822,68733,136555,0,0,0,67822,68733,136555
DEVONPORT2000,DEVONPORT,2000,26,68595,67689,136284,0,0,0,68595,67689,136284
DEVONPORT2001,DEVONPORT,2001,27,58182,57684,115866,0,0,0,58182,57684,115866
DEVONPORT2002,DEVONPORT,2002,27,53756,52404,106160,0,0,0,53756,52404,106160
DEVONPORT2003,DEVONPORT,2003,29,54939,54749,109688,0,0,0,54939,54749,109688
DEVONPORT2004,DEVONPORT,2004,32,59915,61026,120941,0,0,0,59915,61026,120941
DEVONPORT2005,DEVONPORT,2005,36,51713,51689,103402,0,0,0,51713,51689,103402
DEVONPORT2006,DEVONPORT,2006,44,45121,45170,90291,0,0,0,45121,45170,90291
DEVONPORT2007,DEVONPORT,2007,46,43863,44550,88413,0,0,0,43863,44550,88413
DEVONPORT2008,DEVONPORT,2008,42,55644,54447,110091,0,0,0,55644,54447,110091
DEVONPORT2009,DEVONPORT,2009,40,59358,58353,117711,0,0,0,59358,58353,117711
DEVONPORT2010,DEVONPORT,2010,40,68957,68319,137276,0,0,0,68957,68319,137276
DEVONPORT2011,DEVONPORT,2011,40,68645,67961,136606,0,0,0,68645,67961,136606
DEVONPORT2012,DEVONPORT,2012,41,67808,67559,135367,0,0,0,67808,67559,135367
DEVONPORT2013,DEVONPORT,2013,44,63996,63780,127776,0,0,0,63996,63780,127776
DEVONPORT2014,DEVONPORT,2014,43,67776,67567,135343,0,0,0,67776,67567,135343
DEVONPORT2015,DEVONPORT,2015,41,71903,71519,143422,0,0,0,71903,71519,143422
DEVONPORT2016,DEVONPORT,2016,41,73754,73459,147213,0,0,0,73754,73459,147213
DUBBO1985,DUBBO,1985,31,40168,40461,80629,0,0,0,40168,40461,80629
DUBBO1986,DUBBO,1986,35,39005,38901,77906,0,0,0,39005,38901,77906
DUBBO1987,DUBBO,1987,33,35592,35468,71060,0,0,0,35592,35468,71060
DUBBO1988,DUBBO,1988,34,37135,36657,73792,0,0,0,37135,36657,73792
DUBBO1989,DUBBO,1989,31,30658,30764,61422,0,0,0,30658,30764,61422
DUBBO1990,DUBBO,1990,31,35316,36866,72182,0,0,0,35316,36866,72182
DUBBO1991,DUBBO,1991,36,32363,32190,64553,0,0,0,32363,32190,64553
DUBBO1992,DUBBO,1992,31,41889,41907,83796,0,0,0,41889,41907,83796
DUBBO1993,DUBBO,1993,32,41203,41944,83147,0,0,0,41203,41944,83147
DUBBO1994,DUBBO,1994,29,50365,49912,100277,0,0,0,50365,49912,100277
DUBBO1995,DUBBO,1995,31,53705,54096,107801,0,0,0,53705,54096,107801
DUBBO1996,DUBBO,1996,28,56102,55979,112081,0,0,0,56102,55979,112081
DUBBO1997,DUBBO,1997,29,56325,57041,113366,0,0,0,56325,57041,113366
DUBBO1998,DUBBO,1998,30,61048,62071,123119,0,0,0,61048,62071,123119
DUBBO1999,DUBBO,1999,29,62377,62639,125016,0,0,0,62377,62639,125016
DUBBO2000,DUBBO,2000,29,62032,62571,124603,0,0,0,62032,62571,124603
DUBBO2001,DUBBO,2001,28,56235,56376,112611,0,0,0,56235,56376,112611
DUBBO2002,DUBBO,2002,28,52762,53390,106152,0,0,0,52762,53390,106152
DUBBO2003,DUBBO,2003,27,57878,58030,115908,0,0,0,57878,58030,115908
DUBBO2004,DUBBO,2004,27,71921,72317,144238,0,0,0,71921,72317,144238
DUBBO2005,DUBBO,2005,28,76449,76494,152943,0,0,0,76449,76494,152943
DUBBO2006,DUBBO,2006,30,81401,82046,163447,0,0,0,81401,82046,163447
DUBBO2007,DUBBO,2007,30,90231,90978,181209,0,0,0,90231,90978,181209
DUBBO2008,DUBBO,2008,32,93075,92343,185418,0,0,0,93075,92343,185418
DUBBO2009,DUBBO,2009,33,83825,84573,168398,0,0,0,83825,84573,168398
DUBBO2010,DUBBO,2010,35,88238,88966,177204,0,0,0,88238,88966,177204
DUBBO2011,DUBBO,2011,37,84666,84971,169637,0,0,0,84666,84971,169637
DUBBO2012,DUBBO,2012,37,85379,86008,171387,0,0,0,85379,86008,171387
DUBBO2013,DUBBO,2013,38,87908,88224,176132,0,0,0,87908,88224,176132
DUBBO2014,DUBBO,2014,37,95618,96031,191649,0,0,0,95618,96031,191649
DUBBO2015,DUBBO,2015,35,92935,93389,186324,0,0,0,92935,93389,186324
DUBBO2016,DUBBO,2016,34,96814,97310,194124,0,0,0,96814,97310,194124
ELCHO ISLAND1985,ELCHO ISLAND,1985,-,4632,4647,9279,0,0,0,4632,4647,9279
ELCHO ISLAND1986,ELCHO ISLAND,1986,-,5316,5072,10388,0,0,0,5316,5072,10388
ELCHO ISLAND1987,ELCHO ISLAND,1987,-,5108,5310,10418,0,0,0,5108,5310,10418
ELCHO ISLAND1988,ELCHO ISLAND,1988,-,6297,6452,12749,0,0,0,6297,6452,12749
ELCHO ISLAND1989,ELCHO ISLAND,1989,-,5432,5948,11380,0,0,0,5432,5948,11380
ELCHO ISLAND1990,ELCHO ISLAND,1990,-,5038,5720,10758,0,0,0,5038,5720,10758
ELCHO ISLAND1991,ELCHO ISLAND,1991,-,4944,5546,10490,0,0,0,4944,5546,10490
ELCHO ISLAND1992,ELCHO ISLAND,1992,-,5117,5714,10831,0,0,0,5117,5714,10831
ELCHO ISLAND1993,ELCHO ISLAND,1993,-,4453,4666,9119,0,0,0,4453,4666,9119
ELCHO ISLAND1994,ELCHO ISLAND,1994,-,4211,4210,8421,0,0,0,4211,4210,8421
ELCHO ISLAND1995,ELCHO ISLAND,1995,-,6882,6541,13423,0,0,0,6882,6541,13423
ELCHO ISLAND1996,ELCHO ISLAND,1996,-,7920,7926,15846,0,0,0,7920,7926,15846
ELCHO ISLAND1997,ELCHO ISLAND,1997,-,8729,8708,17437,0,0,0,8729,8708,17437
ELCHO ISLAND1998,ELCHO ISLAND,1998,-,8316,8233,16549,0,0,0,8316,8233,16549
ELCHO ISLAND1999,ELCHO ISLAND,1999,-,8607,8712,17319,0,0,0,8607,8712,17319
ELCHO ISLAND2000,ELCHO ISLAND,2000,-,7174,7215,14389,0,0,0,7174,7215,14389
ELCHO ISLAND2001,ELCHO ISLAND,2001,-,6832,7011,13843,0,0,0,6832,7011,13843
ELCHO ISLAND2002,ELCHO ISLAND,2002,-,4759,4670,9429,0,0,0,4759,4670,9429
ELCHO ISLAND2003,ELCHO ISLAND,2003,-,4687,4589,9276,0,0,0,4687,4589,9276
ELCHO ISLAND2004,ELCHO ISLAND,2004,-,4931,4928,9859,0,0,0,4931,4928,9859
ELCHO ISLAND2005,ELCHO ISLAND,2005,-,4605,4592,9197,0,0,0,4605,4592,9197
ELCHO ISLAND2006,ELCHO ISLAND,2006,-,2736,2740,5476,0,0,0,2736,2740,5476
ELCHO ISLAND2007,ELCHO ISLAND,2007,-,2986,2953,5939,0,0,0,2986,2953,5939
ELCHO ISLAND2008,ELCHO ISLAND,2008,-,3594,3648,7242,0,0,0,3594,3648,7242
ELCHO ISLAND2009,ELCHO ISLAND,2009,-,4229,4079,8308,0,0,0,4229,4079,8308
ELCHO ISLAND2010,ELCHO ISLAND,2010,-,4038,3812,7850,0,0,0,4038,3812,7850
ELCHO ISLAND2011,ELCHO ISLAND,2011,-,4274,4136,8410,0,0,0,4274,4136,8410
ELCHO ISLAND2012,ELCHO ISLAND,2012,-,3732,3708,7440,0,0,0,3732,3708,7440
ELCHO ISLAND2013,ELCHO ISLAND,2013,-,3793,3643,7436,0,0,0,3793,3643,7436
ELCHO ISLAND2014,ELCHO ISLAND,2014,-,3937,3706,7643,0,0,0,3937,3706,7643
ELCHO ISLAND2015,ELCHO ISLAND,2015,-,4325,4197,8522,0,0,0,4325,4197,8522
ELCHO ISLAND2016,ELCHO ISLAND,2016,-,4007,3985,7992,0,0,0,4007,3985,7992
EMERALD1985,EMERALD,1985,-,7132,7059,14191,0,0,0,7132,7059,14191
EMERALD1986,EMERALD,1986,-,7326,7406,14732,0,0,0,7326,7406,14732
EMERALD1987,EMERALD,1987,-,5532,5157,10689,0,0,0,5532,5157,10689
EMERALD1988,EMERALD,1988,-,5498,5869,11367,0,0,0,5498,5869,11367
EMERALD1989,EMERALD,1989,-,6531,6379,12910,0,0,0,6531,6379,12910
EMERALD1990,EMERALD,1990,-,8351,8408,16759,0,0,0,8351,8408,16759
EMERALD1991,EMERALD,1991,-,12677,12830,25507,0,0,0,12677,12830,25507
EMERALD1992,EMERALD,1992,-,16385,16207,32592,0,0,0,16385,16207,32592
EMERALD1993,EMERALD,1993,-,18330,18364,36694,0,0,0,18330,18364,36694
EMERALD1994,EMERALD,1994,-,18121,18072,36193,0,0,0,18121,18072,36193
EMERALD1995,EMERALD,1995,-,18929,18810,37739,0,0,0,18929,18810,37739
EMERALD1996,EMERALD,1996,-,18035,17801,35836,0,0,0,18035,17801,35836
EMERALD1997,EMERALD,1997,-,18913,19024,37937,0,0,0,18913,19024,37937
EMERALD1998,EMERALD,1998,-,17459,17411,34870,0,0,0,17459,17411,34870
EMERALD1999,EMERALD,1999,-,18190,17947,36137,0,0,0,18190,17947,36137
EMERALD2000,EMERALD,2000,-,20359,20240,40599,0,0,0,20359,20240,40599
EMERALD2001,EMERALD,2001,-,17180,17201,34381,0,0,0,17180,17201,34381
EMERALD2002,EMERALD,2002,-,19688,19704,39392,0,0,0,19688,19704,39392
EMERALD2003,EMERALD,2003,-,21737,21870,43607,0,0,0,21737,21870,43607
EMERALD2004,EMERALD,2004,49,26675,27140,53815,0,0,0,26675,27140,53815
EMERALD2005,EMERALD,2005,46,34669,35259,69928,0,0,0,34669,35259,69928
EMERALD2006,EMERALD,2006,45,43766,45179,88945,0,0,0,43766,45179,88945
EMERALD2007,EMERALD,2007,42,48489,50188,98677,0,0,0,48489,50188,98677
EMERALD2008,EMERALD,2008,39,58071,59905,117976,0,0,0,58071,59905,117976
EMERALD2009,EMERALD,2009,39,58701,60307,119008,0,0,0,58701,60307,119008
EMERALD2010,EMERALD,2010,39,69561,72060,141621,0,0,0,69561,72060,141621
EMERALD2011,EMERALD,2011,36,95811,97530,193341,0,0,0,95811,97530,193341
EMERALD2012,EMERALD,2012,28,138853,141564,280417,0,0,0,138853,141564,280417
EMERALD2013,EMERALD,2013,26,140354,142879,283233,0,0,0,140354,142879,283233
EMERALD2014,EMERALD,2014,28,124359,124581,248940,0,0,0,124359,124581,248940
EMERALD2015,EMERALD,2015,32,106766,105729,212495,0,0,0,106766,105729,212495
EMERALD2016,EMERALD,2016,33,99488,99543,199031,0,0,0,99488,99543,199031
ESPERANCE1985,ESPERANCE,1985,-,8950,9080,18030,0,0,0,8950,9080,18030
ESPERANCE1986,ESPERANCE,1986,-,9705,9584,19289,0,0,0,9705,9584,19289
ESPERANCE1987,ESPERANCE,1987,-,9096,9061,18157,0,0,0,9096,9061,18157
ESPERANCE1988,ESPERANCE,1988,-,9597,9601,19198,0,0,0,9597,9601,19198
ESPERANCE1989,ESPERANCE,1989,-,8130,8082,16212,0,0,0,8130,8082,16212
ESPERANCE1990,ESPERANCE,1990,-,8225,8228,16453,0,0,0,8225,8228,16453
ESPERANCE1991,ESPERANCE,1991,-,7908,7954,15862,0,0,0,7908,7954,15862
ESPERANCE1992,ESPERANCE,1992,-,7828,7940,15768,0,0,0,7828,7940,15768
ESPERANCE1993,ESPERANCE,1993,-,8732,8852,17584,0,0,0,8732,8852,17584
ESPERANCE1994,ESPERANCE,1994,-,10020,10128,20148,0,0,0,10020,10128,20148
ESPERANCE1995,ESPERANCE,1995,-,11457,11596,23053,0,0,0,11457,11596,23053
ESPERANCE1996,ESPERANCE,1996,-,12978,13002,25980,0,0,0,12978,13002,25980
ESPERANCE1997,ESPERANCE,1997,-,13149,13252,26401,0,0,0,13149,13252,26401
ESPERANCE1998,ESPERANCE,1998,-,13919,13910,27829,0,0,0,13919,13910,27829
ESPERANCE1999,ESPERANCE,1999,-,15815,15875,31690,0,0,0,15815,15875,31690
ESPERANCE2000,ESPERANCE,2000,-,17649,17674,35323,0,0,0,17649,17674,35323
ESPERANCE2001,ESPERANCE,2001,-,15251,15171,30422,0,0,0,15251,15171,30422
ESPERANCE2002,ESPERANCE,2002,-,14355,14584,28939,0,0,0,14355,14584,28939
ESPERANCE2003,ESPERANCE,2003,-,14138,14162,28300,0,0,0,14138,14162,28300
ESPERANCE2004,ESPERANCE,2004,-,16800,16819,33619,0,0,0,16800,16819,33619
ESPERANCE2005,ESPERANCE,2005,-,17958,17845,35803,0,0,0,17958,17845,35803
ESPERANCE2006,ESPERANCE,2006,-,18946,19177,38123,0,0,0,18946,19177,38123
ESPERANCE2007,ESPERANCE,2007,-,21344,21412,42756,0,0,0,21344,21412,42756
ESPERANCE2008,ESPERANCE,2008,-,22296,22478,44774,0,0,0,22296,22478,44774
ESPERANCE2009,ESPERANCE,2009,-,22017,21910,43927,0,0,0,22017,21910,43927
ESPERANCE2010,ESPERANCE,2010,-,22931,23082,46013,0,0,0,22931,23082,46013
ESPERANCE2011,ESPERANCE,2011,-,24162,23930,48092,0,0,0,24162,23930,48092
ESPERANCE2012,ESPERANCE,2012,-,23253,22711,45964,0,0,0,23253,22711,45964
ESPERANCE2013,ESPERANCE,2013,-,24028,24135,48163,0,0,0,24028,24135,48163
ESPERANCE2014,ESPERANCE,2014,59,26991,27078,54069,0,0,0,26991,27078,54069
ESPERANCE2015,ESPERANCE,2015,61,25567,25876,51443,0,0,0,25567,25876,51443
ESPERANCE2016,ESPERANCE,2016,-,23650,24341,47991,0,0,0,23650,24341,47991
ESSENDON1985,ESSENDON,1985,-,1416,1353,2769,0,0,0,1416,1353,2769
ESSENDON1986,ESSENDON,1986,-,2306,2423,4729,0,0,0,2306,2423,4729
ESSENDON1987,ESSENDON,1987,-,3656,4425,8081,0,0,0,3656,4425,8081
ESSENDON1988,ESSENDON,1988,-,5298,5292,10590,0,0,0,5298,5292,10590
ESSENDON1989,ESSENDON,1989,-,6230,6523,12753,0,0,0,6230,6523,12753
ESSENDON1990,ESSENDON,1990,-,9743,9855,19598,0,0,0,9743,9855,19598
ESSENDON1991,ESSENDON,1991,-,5106,4944,10050,0,0,0,5106,4944,10050
ESSENDON1992,ESSENDON,1992,-,2989,2825,5814,0,0,0,2989,2825,5814
ESSENDON1993,ESSENDON,1993,-,1726,1632,3358,0,0,0,1726,1632,3358
ESSENDON1994,ESSENDON,1994,-,2938,2892,5830,0,0,0,2938,2892,5830
ESSENDON1995,ESSENDON,1995,-,132,132,264,0,0,0,132,132,264
ESSENDON1996,ESSENDON,1996,-,203,201,404,0,0,0,203,201,404
ESSENDON1997,ESSENDON,1997,-,1357,1361,2718,0,0,0,1357,1361,2718
ESSENDON1998,ESSENDON,1998,-,1422,1412,2834,0,0,0,1422,1412,2834
ESSENDON1999,ESSENDON,1999,-,1297,1297,2594,0,0,0,1297,1297,2594
ESSENDON2000,ESSENDON,2000,-,820,820,1640,0,0,0,820,820,1640
ESSENDON2001,ESSENDON,2001,-,1206,1165,2371,0,0,0,1206,1165,2371
ESSENDON2002,ESSENDON,2002,-,1949,1841,3790,0,0,0,1949,1841,3790
ESSENDON2003,ESSENDON,2003,-,1092,1025,2117,0,0,0,1092,1025,2117
ESSENDON2004,ESSENDON,2004,-,5018,4654,9672,0,0,0,5018,4654,9672
ESSENDON2005,ESSENDON,2005,-,3856,3794,7650,0,0,0,3856,3794,7650
ESSENDON2006,ESSENDON,2006,-,3401,3304,6705,0,0,0,3401,3304,6705
ESSENDON2007,ESSENDON,2007,-,5793,5440,11233,0,0,0,5793,5440,11233
ESSENDON2008,ESSENDON,2008,-,8701,8271,16972,0,0,0,8701,8271,16972
ESSENDON2009,ESSENDON,2009,-,7687,7779,15466,0,0,0,7687,7779,15466
ESSENDON2010,ESSENDON,2010,-,10676,11054,21730,0,0,0,10676,11054,21730
ESSENDON2011,ESSENDON,2011,-,10128,9803,19931,0,0,0,10128,9803,19931
ESSENDON2012,ESSENDON,2012,-,9299,9537,18836,0,0,0,9299,9537,18836
ESSENDON2013,ESSENDON,2013,-,8593,8634,17227,0,0,0,8593,8634,17227
ESSENDON2014,ESSENDON,2014,-,8277,6650,14927,0,0,0,8277,6650,14927
ESSENDON2015,ESSENDON,2015,-,7435,7091,14526,0,0,0,7435,7091,14526
ESSENDON2016,ESSENDON,2016,-,9521,9409,18930,0,0,0,9521,9409,18930
FLINDERS ISLAND1985,FLINDERS ISLAND,1985,-,8029,8042,16071,0,0,0,8029,8042,16071
FLINDERS ISLAND1986,FLINDERS ISLAND,1986,-,7719,7768,15487,0,0,0,7719,7768,15487
FLINDERS ISLAND1987,FLINDERS ISLAND,1987,-,7937,7738,15675,0,0,0,7937,7738,15675
FLINDERS ISLAND1988,FLINDERS ISLAND,1988,-,8539,8546,17085,0,0,0,8539,8546,17085
FLINDERS ISLAND1989,FLINDERS ISLAND,1989,-,8756,8752,17508,0,0,0,8756,8752,17508
FLINDERS ISLAND1990,FLINDERS ISLAND,1990,-,10346,10384,20730,0,0,0,10346,10384,20730
FLINDERS ISLAND1991,FLINDERS ISLAND,1991,-,10697,10704,21401,0,0,0,10697,10704,21401
FLINDERS ISLAND1992,FLINDERS ISLAND,1992,-,10994,11097,22091,0,0,0,10994,11097,22091
FLINDERS ISLAND1993,FLINDERS ISLAND,1993,-,10355,10447,20802,0,0,0,10355,10447,20802
FLINDERS ISLAND1994,FLINDERS ISLAND,1994,-,10445,10544,20989,0,0,0,10445,10544,20989
FLINDERS ISLAND1995,FLINDERS ISLAND,1995,-,8832,8960,17792,0,0,0,8832,8960,17792
FLINDERS ISLAND1996,FLINDERS ISLAND,1996,-,8241,8265,16506,0,0,0,8241,8265,16506
FLINDERS ISLAND1997,FLINDERS ISLAND,1997,-,10500,10581,21081,0,0,0,10500,10581,21081
FLINDERS ISLAND1998,FLINDERS ISLAND,1998,-,11132,11142,22274,0,0,0,11132,11142,22274
FLINDERS ISLAND1999,FLINDERS ISLAND,1999,-,10135,10055,20190,0,0,0,10135,10055,20190
FLINDERS ISLAND2000,FLINDERS ISLAND,2000,-,4604,4474,9078,0,0,0,4604,4474,9078
FLINDERS ISLAND2001,FLINDERS ISLAND,2001,-,3703,3703,7406,0,0,0,3703,3703,7406
FLINDERS ISLAND2002,FLINDERS ISLAND,2002,-,3746,3746,7492,0,0,0,3746,3746,7492
FLINDERS ISLAND2003,FLINDERS ISLAND,2003,-,3276,3276,6552,0,0,0,3276,3276,6552
FLINDERS ISLAND2004,FLINDERS ISLAND,2004,-,6825,8191,15016,0,0,0,6825,8191,15016
FLINDERS ISLAND2005,FLINDERS ISLAND,2005,-,7691,8213,15904,0,0,0,7691,8213,15904
FLINDERS ISLAND2006,FLINDERS ISLAND,2006,-,8827,8928,17755,0,0,0,8827,8928,17755
FLINDERS ISLAND2007,FLINDERS ISLAND,2007,-,8930,9103,18033,0,0,0,8930,9103,18033
FLINDERS ISLAND2008,FLINDERS ISLAND,2008,-,9214,9083,18297,0,0,0,9214,9083,18297
FLINDERS ISLAND2009,FLINDERS ISLAND,2009,-,9617,9571,19188,0,0,0,9617,9571,19188
FLINDERS ISLAND2010,FLINDERS ISLAND,2010,-,9733,9658,19391,0,0,0,9733,9658,19391
FLINDERS ISLAND2011,FLINDERS ISLAND,2011,-,9247,9894,19141,0,0,0,9247,9894,19141
FLINDERS ISLAND2012,FLINDERS ISLAND,2012,-,9849,9982,19831,0,0,0,9849,9982,19831
FLINDERS ISLAND2013,FLINDERS ISLAND,2013,-,9854,10066,19920,0,0,0,9854,10066,19920
FLINDERS ISLAND2014,FLINDERS ISLAND,2014,-,9904,9933,19837,0,0,0,9904,9933,19837
FLINDERS ISLAND2015,FLINDERS ISLAND,2015,-,9948,9967,19915,0,0,0,9948,9967,19915
